CO_ID;DATA;CL_ID;CL_GENERO;CL_EC;CL_FHL;CL_SEG;QTD_ITENS_DISTINTOS;QTD_UNIDADES;QTD_CATEGORIAS_DISTINTAS
222896;2019-12-30;41;M;3;0;C;57;65;6
222966;2019-12-30;383;M;1;3;C;24;25;3
222986;2019-12-30;76;M;3;0;A;32;33;6
223006;2019-12-30;28;F;1;2;B;71;81;5
223098;2019-12-30;750;M;2;2;C;26;27;4
223110;2019-12-30;199;M;3;3;B;58;68;5
223196;2019-12-30;686;F;3;2;A;70;84;7
223257;2019-12-30;309;M;1;0;B;40;45;5
223328;2019-12-30;213;M;2;4;B;15;16;5
223378;2019-12-30;700;F;4;2;C;23;23;5
223383;2019-12-30;465;F;3;0;B;67;81;5
223430;2019-12-30;550;M;4;0;B;64;74;6
223493;2019-12-30;259;M;1;1;B;43;49;4
223588;2019-12-30;204;F;3;3;B;15;16;4
223685;2019-12-30;670;M;4;0;C;63;73;6
223703;2019-12-30;271;F;4;0;B;8;8;2
223749;2019-12-30;630;M;1;2;C;58;65;6
223841;2019-12-30;703;M;1;3;B;27;28;6
223939;2019-12-30;493;M;2;4;B;67;75;5
224016;2019-12-30;847;M;4;2;A;7;7;3
224041;2020-01-01;268;M;4;0;B;69;88;4
224066;2020-01-01;97;F;4;1;B;27;28;4
224076;2020-01-01;4;M;4;0;B;6;6;3
224133;2020-01-01;942;M;1;0;B;64;72;6
224157;2020-01-01;139;F;3;3;B;20;20;5
224227;2020-01-01;428;F;2;0;A;65;77;6
224283;2020-01-01;620;M;2;0;B;75;88;7
224321;2020-01-01;149;M;1;3;A;40;48;5
224391;2020-01-01;228;F;4;0;C;70;86;5
224414;2020-01-01;81;F;2;0;B;6;6;1
224480;2020-01-01;4;M;4;0;B;59;72;6
224565;2020-01-01;375;M;4;0;B;59;76;7
224605;2020-01-01;510;F;4;0;B;56;68;6
224674;2020-01-01;483;M;1;0;C;50;51;6
224719;2020-01-01;746;M;3;0;C;7;7;4
224749;2020-01-01;704;F;2;0;C;62;71;7
224810;2020-01-01;974;M;4;1;B;38;42;6
224897;2020-01-01;408;F;4;0;B;71;82;6
224909;2020-01-01;938;M;1;4;B;60;67;6
224968;2020-01-01;763;F;4;0;B;35;37;6
225021;2020-01-01;521;F;1;0;A;73;80;6
225078;2020-01-01;584;M;3;0;B;74;87;6
225142;2020-01-01;243;F;1;4;C;5;5;2
225163;2020-01-01;502;M;4;0;C;68;80;6
225182;2020-01-01;464;M;2;2;B;69;79;7
225225;2020-01-01;232;M;3;1;B;59;63;6
225282;2020-01-01;109;M;2;1;B;64;71;5
225364;2020-01-01;448;F;2;0;A;53;56;6
225452;2020-01-01;45;M;2;0;A;23;26;4
225502;2020-01-01;565;F;1;2;B;28;29;6
225558;2020-01-01;968;F;1;0;B;31;33;5
225649;2020-01-01;651;F;2;0;B;30;32;5
225652;2020-01-01;684;F;3;0;C;39;42;5
225741;2020-01-01;758;F;3;0;B;66;76;6
225810;2020-01-01;336;F;1;0;C;24;28;5
225875;2020-01-01;146;F;2;0;B;5;5;2
225952;2020-01-01;545;M;2;2;B;8;9;4
225980;2020-01-01;935;F;2;0;B;70;84;6
226018;2020-01-01;469;M;4;2;C;75;85;6
226082;2020-01-01;355;M;3;4;B;53;62;6
226160;2020-01-01;419;F;2;1;B;42;49;5
226201;2020-01-01;168;F;4;3;B;51;56;5
226286;2020-01-01;316;F;3;2;B;9;9;5
226334;2020-01-01;258;F;1;0;B;42;44;5
226422;2020-01-01;851;F;2;0;B;12;13;4
226498;2020-01-01;278;F;3;2;C;50;58;5
226541;2020-01-01;456;M;1;4;B;49;51;6
226617;2020-01-01;962;M;3;4;B;66;80;6
226680;2020-01-01;890;M;3;0;C;5;5;2
226713;2020-01-01;835;F;1;0;A;49;54;6
226745;2020-01-01;756;F;1;4;B;30;32;5
226831;2020-01-01;298;F;4;0;C;59;72;5
226910;2020-02-01;625;F;4;0;C;47;53;7
226986;2020-02-01;583;F;2;0;B;64;78;5
227055;2020-02-01;791;F;1;0;B;23;24;6
227078;2020-02-01;720;M;2;3;B;49;54;5
227148;2020-02-01;849;F;5;1;B;5;5;4
227151;2020-02-01;786;F;1;4;C;1;1;1
227197;2020-02-01;476;M;3;0;C;20;21;6
227252;2020-02-01;944;F;3;1;B;6;6;3
227301;2020-02-01;699;F;1;0;C;60;69;6
227320;2020-02-01;551;M;1;0;C;68;81;6
227351;2020-02-01;562;F;3;0;B;71;88;7
227431;2020-02-01;318;M;1;2;B;43;47;5
227440;2020-02-01;782;M;3;3;B;64;77;6
227488;2020-02-01;139;F;3;3;B;11;12;3
227567;2020-02-01;200;F;3;0;B;44;49;6
227652;2020-02-01;496;F;2;0;B;42;46;5
227655;2020-02-01;231;F;4;2;B;69;83;7
227702;2020-02-01;432;F;1;0;C;51;57;6
227730;2020-02-01;928;F;5;1;B;8;8;2
227798;2020-02-01;54;M;1;0;A;44;48;6
227825;2020-02-01;726;M;2;0;B;63;76;6
227891;2020-02-01;805;F;3;0;C;31;32;6
227961;2020-02-01;68;F;2;1;A;35;39;4
227972;2020-02-01;134;F;3;0;B;42;47;5
228013;2020-09-01;655;M;2;0;B;39;47;6
228062;2020-09-01;355;M;3;4;B;50;58;5
228098;2020-09-01;821;F;2;3;B;72;85;7
228192;2020-09-01;244;M;4;0;B;58;61;6
228196;2020-09-01;551;M;1;0;C;1;1;1
228229;2020-09-01;197;F;2;0;B;58;63;5
228234;2020-09-01;587;M;1;0;B;5;5;3
228327;2020-09-01;353;M;1;2;B;75;89;6
228411;2020-09-01;136;F;2;1;B;67;79;7
228443;2020-09-01;10;M;1;0;B;43;45;6
228475;2020-09-01;932;M;4;1;B;73;87;6
228538;2020-09-01;330;F;1;0;B;27;28;4
228560;2020-09-01;191;M;3;0;B;16;17;5
228642;2020-09-01;477;F;4;0;B;25;27;5
228688;2020-09-01;334;M;3;0;C;66;75;6
228744;2020-09-01;309;M;1;0;B;36;39;6
228805;2020-09-01;992;F;2;0;B;75;87;5
228903;2020-09-01;390;F;2;0;B;35;36;6
228987;2020-09-01;79;F;2;0;C;47;51;6
229075;2020-09-01;401;M;1;4;C;51;62;5
229161;2020-09-01;400;F;4;1;C;61;71;5
229193;2020-12-01;217;F;3;0;B;2;2;2
229198;2020-12-01;406;M;2;4;C;27;29;5
229253;2020-12-01;728;M;2;0;A;61;71;5
229345;2020-12-01;118;M;2;4;A;52;64;6
229419;2020-12-01;701;M;3;0;B;39;40;6
229430;2020-12-01;587;M;1;0;B;15;17;5
229445;2020-12-01;351;F;2;2;B;36;40;5
229464;2020-12-01;506;F;4;3;B;61;64;5
229510;2020-12-01;833;F;1;4;B;53;60;6
229531;2020-12-01;327;M;4;2;A;19;19;5
229591;2020-12-01;960;F;4;2;B;58;69;5
229674;2020-12-01;739;F;2;3;B;46;49;4
229713;2020-12-01;890;M;3;0;C;69;76;5
229735;2020-01-15;875;F;1;0;B;34;39;5
229807;2020-01-15;746;M;3;0;C;40;46;5
229848;2020-01-15;418;M;2;2;A;25;27;5
229921;2020-01-15;822;M;2;3;B;28;30;6
230004;2020-01-15;384;F;3;2;C;54;63;5
230014;2020-01-15;917;M;1;0;A;21;22;7
230093;2020-01-15;968;F;1;0;B;51;58;6
230110;2020-01-15;655;M;2;0;B;44;52;6
230150;2020-01-15;801;M;1;4;B;34;36;5
230216;2020-01-15;508;F;3;0;B;69;83;5
230238;2020-01-15;913;M;3;4;C;64;74;7
230293;2020-01-15;291;F;3;0;C;24;24;4
230326;2020-01-15;471;F;4;0;A;2;2;1
230397;2020-01-15;735;F;4;0;B;14;14;5
230421;2020-01-15;352;M;4;2;B;67;78;6
230440;2020-01-15;940;F;1;3;B;24;24;5
230495;2020-01-15;43;M;2;0;B;50;58;4
230517;2020-01-15;162;F;1;1;B;16;16;4
230607;2020-01-15;691;M;4;0;B;44;51;6
230700;2020-01-15;67;M;1;0;B;38;40;4
230769;2020-01-15;419;F;2;1;B;48;53;6
230800;2020-01-15;569;M;1;1;A;53;56;6
230808;2020-01-15;847;M;4;2;A;32;32;4
230832;2020-01-15;151;F;1;0;B;11;11;4
230873;2020-01-15;114;F;3;3;B;21;22;6
230941;2020-01-15;279;M;1;2;B;68;86;7
230996;2020-01-15;33;F;2;0;B;2;2;2
231025;2020-01-15;339;F;4;0;C;3;3;2
231067;2020-01-15;431;F;4;3;B;54;57;6
231117;2020-01-15;428;F;2;0;A;61;65;5
231211;2020-01-15;971;F;1;2;A;56;63;5
231250;2020-01-15;378;F;2;0;C;30;31;7
231332;2020-01-15;112;M;4;0;B;16;16;2
231396;2020-01-15;888;F;4;2;B;60;66;5
231425;2020-01-15;9;F;2;0;B;11;11;5
231496;2020-01-15;446;M;1;4;B;40;46;4
231516;2020-01-15;468;M;3;1;C;38;41;5
231574;2020-01-15;1000;F;4;1;B;47;54;6
231584;2020-01-15;170;F;4;2;B;13;13;4
231624;2020-01-15;796;M;2;3;B;47;57;5
231697;2020-01-15;526;M;2;2;B;76;88;7
231790;2020-01-15;867;M;2;3;B;22;22;5
231827;2020-01-15;4;M;4;0;B;54;62;5
231912;2020-01-15;484;M;3;2;C;31;33;4
231984;2020-01-15;576;M;3;0;B;18;20;5
232024;2020-01-15;967;F;1;0;B;34;35;6
232092;2020-01-15;87;M;3;2;A;41;45;5
232124;2020-01-15;174;M;4;3;C;22;22;4
232209;2020-01-15;570;F;4;1;C;70;86;6
232218;2020-01-15;696;M;2;0;B;28;31;6
232239;2020-01-15;389;F;3;0;C;13;13;4
232316;2020-01-15;356;M;2;4;A;20;23;5
232366;2020-01-15;705;M;1;0;B;26;26;5
232377;2020-01-15;283;M;4;1;B;2;2;1
232396;2020-01-15;669;F;4;0;B;39;42;6
232425;2020-01-15;372;M;1;4;B;41;45;5
232457;2020-01-15;549;M;2;3;C;15;15;4
232503;2020-01-15;648;M;1;0;B;65;82;5
232571;2020-01-15;725;M;4;0;C;66;82;6
232639;2020-01-15;881;F;5;1;C;51;62;6
232647;2020-01-15;829;F;3;4;B;5;6;2
232740;2020-01-18;374;F;3;0;B;72;78;5
232798;2020-01-18;552;M;4;0;B;71;84;6
232803;2020-01-18;856;F;5;1;B;64;72;6
232880;2020-01-18;667;F;4;0;C;57;61;6
232895;2020-01-18;635;F;4;0;B;43;48;6
232948;2020-01-18;249;F;4;0;B;32;36;4
233032;2020-01-18;575;M;1;4;B;21;23;5
233079;2020-01-18;141;M;3;4;B;61;74;5
233097;2020-01-18;175;M;1;0;B;36;41;5
233117;2020-01-18;597;M;3;0;C;36;40;6
233197;2020-01-18;413;M;3;2;B;40;43;5
233284;2020-01-18;381;F;1;1;B;61;74;5
233362;2020-01-18;815;F;2;4;B;56;67;5
233433;2020-01-18;453;F;1;0;B;35;38;6
233518;2020-01-18;98;M;1;0;B;37;42;5
233566;2020-01-18;986;M;4;0;B;20;21;2
233665;2020-01-18;368;M;4;0;C;58;70;6
233741;2020-01-18;520;M;1;0;B;50;57;6
233828;2020-01-18;496;F;2;0;B;41;47;6
233897;2020-01-18;821;F;2;3;B;29;30;6
233962;2020-01-18;217;F;3;0;B;26;29;6
234051;2020-01-18;79;F;2;0;C;66;80;7
234142;2020-01-18;688;M;1;1;A;32;35;5
234185;2020-01-18;183;M;4;1;B;13;13;5
234266;2020-01-18;690;F;1;3;B;54;61;6
234359;2020-01-18;532;F;2;3;B;46;48;5
234403;2020-01-18;759;F;3;0;B;53;61;6
234454;2020-01-18;698;F;2;0;B;32;35;6
234457;2020-01-18;185;F;3;0;C;58;66;4
234542;2020-01-18;945;F;2;3;B;53;60;5
234579;2020-01-18;735;F;4;0;B;50;54;5
234581;2020-01-18;658;F;1;1;B;38;40;5
234628;2020-01-18;982;M;4;3;B;33;37;6
234700;2020-01-18;943;F;1;0;C;73;79;6
234791;2020-01-18;569;M;1;1;A;3;3;3
234814;2020-01-18;493;M;2;4;B;51;54;7
234820;2020-01-18;50;M;4;0;B;70;86;7
234825;2020-01-18;351;F;2;2;B;57;64;6
234878;2020-01-18;155;F;2;0;B;63;70;5
234966;2020-01-18;724;M;1;0;B;47;56;6
234969;2020-01-18;827;M;4;0;B;43;48;6
235022;2020-01-18;290;F;1;0;B;62;69;6
235051;2020-01-18;930;F;4;1;B;49;60;6
235076;2020-01-18;148;M;3;4;A;24;26;5
235168;2020-01-18;237;F;4;3;C;63;74;5
235198;2020-01-18;340;M;3;4;B;23;25;4
235235;2020-01-18;5;F;4;3;C;36;39;6
235303;2020-01-18;548;F;4;0;C;72;86;6
235332;2020-01-18;43;M;2;0;B;40;44;6
235428;2020-01-18;40;M;2;1;B;75;89;6
235514;2020-01-18;549;M;2;3;C;42;48;5
235590;2020-01-18;594;F;3;1;C;27;28;5
235666;2020-01-18;988;F;2;0;C;76;82;6
235681;2020-01-18;967;F;1;0;B;60;73;6
235741;2020-01-18;905;M;1;0;B;65;73;7
235755;2020-01-18;316;F;3;2;B;32;33;6
235757;2020-01-18;450;M;1;0;B;60;75;5
235827;2020-01-18;9;F;2;0;B;55;63;6
235867;2020-01-18;667;F;4;0;C;9;10;3
235888;2020-01-18;180;M;3;4;B;51;61;5
235919;2020-01-18;706;F;2;0;A;48;54;6
236011;2020-01-18;537;F;1;4;B;70;89;6
236091;2020-01-18;6;F;2;0;B;2;3;2
236115;2020-01-18;987;F;1;0;B;16;16;5
236162;2020-01-18;386;M;4;2;A;71;86;5
236255;2020-01-18;895;M;3;0;B;18;19;4
236315;2020-01-18;556;F;4;0;B;9;9;5
236362;2020-01-18;500;M;3;2;C;32;34;6
236409;2020-01-18;205;M;2;4;B;6;6;3
236500;2020-01-18;921;M;2;3;B;18;21;4
236501;2020-01-18;521;F;1;0;A;23;24;5
236585;2020-01-18;884;F;3;2;C;29;32;5
236607;2020-01-18;801;M;1;4;B;9;9;4
236648;2020-01-18;368;M;4;0;C;54;61;6
236689;2020-01-18;248;M;3;0;C;34;36;5
236696;2020-01-18;878;F;4;3;C;56;67;6
236716;2020-01-18;406;M;2;4;C;62;68;6
236797;2020-01-18;772;F;2;0;B;69;79;7
236876;2020-01-18;891;F;3;2;B;70;85;6
236935;2020-01-18;657;M;2;3;B;52;61;6
236972;2020-01-18;917;M;1;0;A;9;10;5
236983;2020-01-18;957;M;2;3;B;13;14;4
237063;2020-01-18;218;M;4;0;B;61;70;6
237142;2020-01-18;406;M;2;4;C;71;85;6
237201;2020-01-18;300;F;1;3;C;65;83;6
237207;2020-01-18;368;M;4;0;C;48;57;6
237272;2020-01-18;638;M;3;1;B;36;38;5
237334;2020-01-24;390;F;2;0;B;70;82;6
237397;2020-01-24;615;M;1;4;C;58;67;6
237450;2020-01-24;725;M;4;0;C;35;36;5
237532;2020-01-24;349;M;3;0;B;68;74;6
237549;2020-01-24;245;F;4;3;B;56;68;6
237645;2020-01-24;200;F;3;0;B;54;59;5
237720;2020-01-24;122;M;3;3;B;36;39;6
237774;2020-01-24;344;M;3;0;B;9;9;4
237829;2020-01-24;605;M;4;2;B;22;22;5
237907;2020-01-24;996;F;1;4;B;71;88;6
237983;2020-01-24;190;M;1;4;B;4;4;2
238015;2020-01-24;18;M;4;0;C;18;18;5
238071;2020-01-24;415;F;3;0;B;27;27;4
238111;2020-01-24;662;F;1;1;B;57;59;6
238206;2020-01-24;83;M;1;4;B;39;45;4
238227;2020-01-24;947;F;3;1;B;3;3;2
238290;2020-01-24;835;F;1;0;A;59;68;6
238341;2020-01-24;556;F;4;0;B;9;9;3
238346;2020-01-24;412;M;2;0;B;66;75;6
238386;2020-01-24;518;F;1;0;B;68;83;6
238389;2020-01-24;682;F;2;2;B;52;64;7
238456;2020-01-24;956;M;5;1;C;61;73;6
238493;2020-01-24;737;F;2;1;C;50;56;6
238578;2020-01-24;519;M;2;4;B;63;73;7
238601;2020-01-24;162;F;1;1;B;29;33;4
238632;2020-01-24;282;M;2;0;B;16;17;5
238679;2020-01-24;450;M;1;0;B;69;83;6
238716;2020-01-24;948;M;4;0;C;23;23;3
238724;2020-01-24;223;F;3;0;B;69;73;7
238803;2020-01-24;880;M;3;2;B;22;23;4
238873;2020-01-24;683;F;3;0;B;69;78;6
238930;2020-01-24;995;M;3;1;B;9;9;4
239021;2020-01-24;985;M;1;0;B;65;72;6
239054;2020-01-24;884;F;3;2;C;39;45;5
239083;2020-01-24;772;F;2;0;B;43;47;6
239103;2020-01-24;118;M;2;4;A;33;38;7
239180;2020-01-24;493;M;2;4;B;66;78;5
239214;2020-01-24;340;M;3;4;B;32;41;6
239240;2020-01-24;237;F;4;3;C;36;45;6
239267;2020-01-24;320;M;3;4;B;71;81;5
239319;2020-01-24;486;M;4;0;B;70;81;5
239357;2020-01-24;258;F;1;0;B;60;69;7
239435;2020-01-24;293;M;4;0;B;36;39;5
239518;2020-01-24;794;M;1;2;B;51;56;7
239537;2020-01-24;706;F;2;0;A;45;50;6
239615;2020-01-24;228;F;4;0;C;36;43;4
239668;2020-01-24;667;F;4;0;C;71;87;6
239696;2020-01-24;409;F;3;4;B;37;41;6
239731;2020-01-24;304;F;2;3;B;13;13;3
239732;2020-01-24;433;M;3;3;B;39;46;6
239756;2020-01-24;220;M;1;0;B;10;10;3
239781;2020-01-24;319;M;1;4;B;62;80;6
239821;2020-01-24;931;M;2;0;A;29;35;4
239904;2020-01-24;359;F;1;0;B;59;73;6
239956;2020-01-31;448;F;2;0;A;62;73;5
240055;2020-01-31;283;M;4;1;B;74;83;6
240102;2020-01-31;425;F;3;0;B;48;57;5
240104;2020-01-31;832;F;1;0;B;3;3;1
240176;2020-01-31;960;F;4;2;B;59;68;6
240227;2020-01-31;177;F;3;2;C;38;39;6
240305;2020-01-31;879;M;2;2;C;38;42;4
240366;2020-01-31;25;M;4;1;C;60;68;5
240384;2020-01-31;569;M;1;1;A;73;88;6
240447;2020-01-31;512;M;4;0;B;26;27;4
240490;2020-01-31;510;F;4;0;B;44;49;6
240588;2020-01-31;187;M;2;1;B;57;65;5
240589;2020-01-31;707;M;4;0;B;55;61;7
240683;2020-01-31;221;F;1;0;B;8;9;4
240700;2020-01-31;113;F;3;0;B;39;44;4
240775;2020-01-31;743;M;1;3;C;45;46;5
240792;2020-01-31;189;F;3;4;C;9;9;4
240813;2020-01-31;66;M;3;3;B;15;16;4
240834;2020-01-31;910;M;2;2;B;39;42;4
240914;2020-01-31;996;F;1;4;B;19;19;5
240941;2020-01-31;798;M;5;2;B;11;11;4
241034;2020-01-31;659;F;2;2;B;31;32;5
241082;2020-01-31;89;F;3;3;C;17;17;3
241135;2020-02-02;982;M;4;3;B;55;58;7
241145;2020-02-02;37;M;3;0;B;37;43;5
241232;2020-02-02;523;M;3;0;B;72;83;5
241275;2020-02-02;365;M;4;0;A;57;65;5
241337;2020-02-02;813;F;4;0;C;51;54;5
241432;2020-02-02;183;M;4;1;B;46;53;6
241440;2020-02-02;187;M;2;1;B;68;82;7
241461;2020-02-02;314;F;1;1;A;18;18;4
241521;2020-02-02;778;F;2;2;A;27;29;5
241615;2020-02-02;254;F;5;2;B;31;33;4
241639;2020-02-02;802;M;1;1;B;55;60;5
241709;2020-02-02;259;M;1;1;B;46;52;5
241754;2020-02-02;232;M;3;1;B;45;47;5
241796;2020-02-02;701;M;3;0;B;12;13;4
241812;2020-02-02;525;M;1;4;B;45;55;6
241826;2020-02-02;199;M;3;3;B;28;32;6
241828;2020-02-02;485;M;3;3;B;24;24;6
241834;2020-02-02;473;F;4;3;B;27;29;6
241930;2020-02-02;909;M;3;0;B;40;47;6
241980;2020-02-02;297;M;4;0;B;40;44;4
242042;2020-02-02;374;F;3;0;B;18;18;6
242105;2020-02-02;433;M;3;3;B;55;64;6
242129;2020-02-02;865;F;1;0;B;22;22;5
242205;2020-02-02;598;F;4;0;B;24;27;5
242293;2020-02-02;364;F;4;2;C;40;46;5
242315;2020-02-02;363;F;1;0;B;70;84;7
242317;2020-02-02;680;F;3;0;C;73;83;6
242341;2020-02-02;777;F;1;0;B;55;64;6
242421;2020-02-02;323;M;1;3;B;66;77;6
242471;2020-02-02;793;M;1;3;B;63;76;5
242549;2020-02-02;485;M;3;3;B;52;61;6
242606;2020-02-02;963;M;3;0;B;57;67;6
242614;2020-02-02;161;M;5;2;B;32;33;4
242617;2020-02-02;580;M;3;0;B;46;50;6
242657;2020-02-02;418;M;2;2;A;31;33;6
242722;2020-02-02;901;F;4;1;B;31;35;4
242734;2020-02-02;200;F;3;0;B;25;26;4
242832;2020-02-02;72;F;2;0;A;54;60;6
242870;2020-02-02;104;F;3;2;B;23;26;4
242944;2020-02-02;487;F;3;0;C;11;11;4
243041;2020-02-02;180;M;3;4;B;59;69;7
243123;2020-02-02;359;F;1;0;B;47;50;5
243164;2020-02-02;881;F;5;1;C;64;75;6
243262;2020-02-02;168;F;4;3;B;31;32;6
243306;2020-02-02;131;F;2;0;C;56;69;7
243336;2020-02-02;596;M;2;0;B;58;66;6
243352;2020-02-02;420;M;3;0;B;20;22;3
243362;2020-02-02;354;F;2;0;B;74;80;6
243417;2020-02-02;729;M;3;0;B;48;55;6
243436;2020-02-02;299;F;3;1;C;49;57;6
243440;2020-02-02;933;M;2;2;B;73;79;6
243513;2020-02-02;537;F;1;4;B;53;59;5
243545;2020-02-02;364;F;4;2;C;58;68;6
243620;2020-02-02;326;F;1;0;B;15;15;4
243718;2020-02-02;868;M;4;0;B;75;84;6
243786;2020-02-02;213;M;2;4;B;35;38;5
243808;2020-02-02;779;M;3;4;A;33;36;6
243868;2020-02-02;287;F;1;0;B;54;62;6
243905;2020-02-02;380;M;3;4;B;62;83;5
243963;2020-02-02;444;F;2;0;B;1;1;1
243969;2020-02-02;672;F;4;0;B;45;51;5
244066;2020-02-02;546;F;4;0;B;36;41;5
244109;2020-02-02;464;M;2;2;B;48;55;6
244155;2020-02-02;527;F;4;1;B;45;49;4
244159;2020-02-02;206;F;3;1;C;47;54;6
244180;2020-02-02;119;F;3;2;B;37;43;6
244183;2020-02-02;905;M;1;0;B;61;70;5
244185;2020-02-02;55;F;3;0;B;55;62;5
244230;2020-05-02;338;M;2;0;B;61;69;5
244317;2020-05-02;771;F;4;0;B;20;20;4
244329;2020-05-02;455;F;2;0;C;42;46;7
244399;2020-05-02;374;F;3;0;B;52;61;6
244498;2020-05-02;636;M;2;2;B;35;37;6
244580;2020-05-02;174;M;4;3;C;22;23;6
244603;2020-05-02;185;F;3;0;C;51;57;7
244621;2020-05-02;854;F;5;1;C;69;78;6
244670;2020-05-02;626;M;3;1;C;5;5;2
244681;2020-05-02;41;M;3;0;C;46;53;6
244729;2020-05-02;528;M;2;2;C;57;68;6
244817;2020-05-02;269;F;3;3;B;45;47;4
244827;2020-05-02;281;F;2;0;B;8;9;3
244865;2020-05-02;918;F;2;4;C;39;44;5
244896;2020-05-02;323;M;1;3;B;66;72;6
244960;2020-05-02;800;M;1;0;C;3;3;1
244992;2020-05-02;569;M;1;1;A;17;18;4
245078;2020-05-02;343;F;1;0;B;6;6;2
245146;2020-05-02;272;M;4;3;C;2;2;2
245190;2020-05-02;829;F;3;4;B;61;71;7
245274;2020-05-02;969;M;1;3;B;73;84;7
245320;2020-05-02;608;F;3;0;C;73;82;6
245338;2020-05-02;581;F;4;2;C;5;5;4
245429;2020-05-02;33;F;2;0;B;20;20;5
245474;2020-05-02;355;M;3;4;B;66;70;5
245491;2020-05-02;385;F;2;0;B;62;71;6
245509;2020-05-02;565;F;1;2;B;26;26;5
245570;2020-05-02;56;F;2;3;B;13;14;6
245628;2020-05-02;713;F;1;3;C;49;54;5
245644;2020-05-02;281;F;2;0;B;1;1;1
245685;2020-05-02;562;F;3;0;B;25;26;3
245716;2020-05-02;176;F;2;0;B;71;86;6
245743;2020-05-02;875;F;1;0;B;42;51;6
245751;2020-10-02;239;M;4;2;C;40;45;6
245812;2020-10-02;512;M;4;0;B;12;12;5
245857;2020-10-02;679;F;3;3;B;52;59;6
245869;2020-10-02;908;M;3;2;C;12;12;4
245871;2020-10-02;300;F;1;3;C;38;43;5
245928;2020-10-02;288;M;2;0;B;68;84;7
245961;2020-10-02;566;F;4;0;B;46;50;6
246004;2020-10-02;40;M;2;1;B;35;38;5
246037;2020-10-02;996;F;1;4;B;56;70;5
246105;2020-10-02;389;F;3;0;C;56;63;6
246161;2020-10-02;294;F;4;0;C;5;5;3
246181;2020-10-02;179;F;2;0;B;39;41;7
246248;2020-10-02;763;F;4;0;B;36;38;6
246289;2020-10-02;335;F;3;0;C;47;53;6
246326;2020-10-02;339;F;4;0;C;35;37;5
246356;2020-10-02;843;F;5;1;C;45;50;6
246421;2020-10-02;526;M;2;2;B;38;41;5
246463;2020-10-02;561;M;2;0;B;4;4;3
246532;2020-10-02;932;M;4;1;B;69;83;7
246550;2020-10-02;428;F;2;0;A;69;87;6
246567;2020-10-02;636;M;2;2;B;39;40;5
246607;2020-10-02;285;M;3;0;B;41;43;6
246613;2020-10-02;677;M;4;0;B;52;56;6
246669;2020-10-02;919;F;2;0;C;40;42;6
246740;2020-10-02;581;F;4;2;C;63;74;7
246800;2020-10-02;387;M;2;2;B;68;80;6
246860;2020-10-02;240;M;4;0;B;63;75;6
246952;2020-10-02;147;M;1;0;A;69;75;5
246989;2020-10-02;688;M;1;1;A;4;4;2
246993;2020-10-02;694;M;4;0;C;46;49;6
247077;2020-10-02;651;F;2;0;B;58;65;6
247109;2020-10-02;984;F;4;3;B;63;70;6
247176;2020-10-02;398;F;4;1;B;37;43;5
247241;2020-10-02;341;M;2;0;C;39;39;4
247266;2020-10-02;300;F;1;3;C;37;40;6
247312;2020-10-02;579;F;3;0;B;52;58;5
247391;2020-10-02;833;F;1;4;B;59;71;6
247415;2020-10-02;375;M;4;0;B;52;61;6
247435;2020-10-02;514;M;4;0;C;21;22;6
247442;2020-10-02;169;F;1;1;B;54;62;4
247531;2020-10-02;427;M;3;0;B;53;54;5
247546;2020-10-02;991;F;2;2;C;50;55;5
247616;2020-10-02;618;M;4;3;B;40;44;5
247686;2020-10-02;999;M;2;2;C;41;46;6
247704;2020-10-02;829;F;3;4;B;72;84;6
247770;2020-10-02;244;M;4;0;B;66;79;6
247806;2020-10-02;697;M;3;0;C;40;49;6
247821;2020-10-02;604;M;4;0;B;24;27;5
247838;2020-10-02;365;M;4;0;A;70;82;6
247880;2020-10-02;804;F;4;3;B;66;81;6
247886;2020-10-02;643;F;4;0;C;33;35;6
247893;2020-10-02;999;M;2;2;C;44;50;5
247907;2020-10-02;280;M;4;3;B;68;83;6
247920;2020-10-02;517;F;3;1;B;37;44;6
247992;2020-10-02;844;F;5;1;A;12;15;4
248009;2020-10-02;423;F;5;2;A;66;73;6
248083;2020-10-02;753;F;1;3;C;38;39;7
248127;2020-10-02;909;M;3;0;B;63;77;6
248222;2020-10-02;339;F;4;0;C;50;55;5
248239;2020-10-02;3;F;4;0;B;29;31;6
248288;2020-10-02;203;F;3;0;A;32;35;6
248304;2020-10-02;876;F;2;3;B;58;67;6
248349;2020-10-02;852;M;2;3;B;52;55;6
248357;2020-10-02;162;F;1;1;B;59;69;6
248424;2020-10-02;447;M;2;0;B;13;13;5
248444;2020-10-02;326;F;1;0;B;16;16;3
248471;2020-10-02;961;F;1;0;C;60;71;6
248518;2020-02-16;823;M;5;3;B;35;37;5
248552;2020-02-16;949;M;1;0;B;41;43;6
248628;2020-02-16;635;F;4;0;B;66;80;6
248700;2020-02-16;195;M;4;0;B;57;65;4
248758;2020-02-16;380;M;3;4;B;9;9;4
248816;2020-02-16;930;F;4;1;B;46;54;7
248895;2020-02-16;640;M;4;0;C;27;28;6
248923;2020-02-16;645;F;4;0;B;43;46;7
248969;2020-02-16;763;F;4;0;B;50;53;6
248997;2020-02-16;634;F;2;0;C;44;48;5
249051;2020-02-16;849;F;5;1;B;53;63;7
